"star1","star2","star3","star4","star5"
"card","awesome","cute","fairly","phenomenal"
"save","lacking","fantastic","call","recommendation"
"supposed","supposed","paying","waited","located"
"refill","attentive","charge","lovely","comfortable"
"not_good","tasteless","min","roasted","valley"
"talking","ambiance","paid","phoenix","topped"
"lack","phone","lacking","sweet_potato","banana"
"hair","par","lack","vegan","roasted"
"cashier","happy","authentic","manager","top_notch"
"customers","fun","reasonable","comfortable","casual"
"woman","management","noteworthy","absolutely","traditional"
"forever","happened","completely","topped","beat"
"spicy","worse","unique","life","literally"
"speak","crispy","refill","prefer","belly"
"burnt","forever","customer_service","smoked","lived"
"ridiculous","expecting","understand","combination","charlotte"
"leaving","dollar","expectation","outdoor","super_friendly"
"atmosphere","not_great","shared","wow","combination"
"not_recommend","charged","beautiful","nicely","call"
"lost","not_really","received","kinda","pricey"
"apparently","meh","minutes","coy","heaven"
"raw","gross","notable","lady","welcoming"
"bag","absolutely","forgot","world","sitting"
"disappointment","tough","vibe","belly","bomb"
"spent","establishment","not_even","classic","lady"
"nasty","total","helpful","generous","exceptional"
"wow","attitude","literally","customer_service","melt"
"overcooked","delivery","soggy","hostess","smoked"
"not_go","notepad","employee","banana","coy"
"apology","fan","par","crisp","tonight"
"spot","alright","traditional","delivery","accommodating"
"excuse","not_impressed","wonderful","kick","montreal"
"mess","sadly","overcooked","summer","delivery"
"happy","burnt","rude","outstanding","delicious_food"
"joke","not_as","frozen","modern","truffle"
"coupon","tonight","casual","interior","employee"
"standing","loved","establishment","satisfied","generous"
"amazing","pricey","total","mango","superb"
"treated","bag","dollar","visiting","classic"
"weird","apparently","sweet_potato","not_really","coconut"
"favourite","kinda","nicely","weird","establishment"
"horrible_service","mistake","delivery","surprisingly","highly_recommended"
"delicious","hoping","barely","treat","amazing_food"
"situation","variety","interior","establishment","satisfied"
"crap","flavourless","terrible","empty","pittsburgh"
"refund","slightly","odd","notable","sweet_potato"
"stomach","mess","juicy","moist","fine"
"upset","talking","stuffed","pleased","hummus"
"returned","fairly","mouth","beat","crisp"
"not_very","chocolate","vegan","perfection","modern"
"not_care","raw","creamy","coconut","affordable"
"bad_service","expectation","crepe","hummus","hostess"
"response","typical","wow","pleasantly_surprised","mango"
"shame","life","tough","friendly_staff","completely"
"telling","spent","hoping","lots","bill"
"not_that","authentic","dirty","not_that","waited"
"explained","mouth","phone","jalapeño","refreshing"
"hell","ridiculous","belly","recommendation","sample"
"stale","hype","healthy","truffle","excellent_service"
"online","not_go","hype","quiet","professional"
"bother","flavourful","world","refreshing","pudding"
"threw","card","not_much","pastry","moist"
"mcdonald","odd","not_good","affordable","friendly_service"
"not_think","woman","roasted","completely","goodness"
"receipt","wow","absolutely","dipping","pastry"
"mouth","save","life","bland","outdoor"
"arrive","closed","comfortable","minutes","decent"
"quick","cashier","smoked","goodness","notable"
"flavourless","undercooked","supposed","total","pleased"
"tough","avoid","not_bad","notepad","jalapeño"
"worst_service","positive","meh","efficient","owned"
"refused","beautiful","perfectly","pudding","hands"
"informed","perfect","bag","literally","slightly"
"needless","arrive","apparently","savoury","fie"
"terrible_service","waste","disappointment","not_very","cleveland"
"thrum","not_too","mango","beer_selection","savoury"
"apologized","stale","generous","min","arizona"
"suck","customers","outdoor","dollar","kick"
"credit_card","leaving","sad","closed","summer"
"spoke","lacked","closed","goat","salty"
"stood","not_much","yum","charge","mg"
"ten","standing","poor","cooked_perfectly","absolutely_delicious"
"selection","eh","talking","montreal","absolute"
"style","coupon","fare","wood","creme"
"par","disgusting","phoenix","employee","consistently"
"ran","lost","modern","valley","typical"
"dint","figured","spectacular","incredible","cooked_perfectly"
"shit","boring","surprisingly","sample","guess"
"inedible","soft","summer","charlotte","thai_food"
"food_poisoning","experienced","card","refill","not_even"
"send","not_come","topped","not_think","dry"
"complete","ten","truffle","fare","average"
"tasty","not_recommend","coupon","forgot","perfectly_cooked"
"figured","cute","lots","phone","excellent_food"
"poor_service","strange","forever","accommodating","nicely"
"microwave","filling","classic","tad","goat"
"undercooked","stood","quiet","snack","gluten_free"
"proceeded","bother","combination","prompt","spectacular"
"experienced","hair","crisp","paid","closed"
"not_come","shame","stood","lived","delightful"
"realized","fantastic","horrible","fabulous","received"
"negative","tender","kick","pittsburgh","interior"
"unprofessional","blah","lacked","expecting","talking"
"correct","located","happened","lack","solid"
"enjoyed","overly","strange","friendly_service","quiet"
"foot","stomach","avoid","received","phone"
"treat","sick","tonight","creme","efficient"
"answer","world","banana","melt","creative"
"not_going","wonderful","eh","knowledgeable","smooth"
"complained","realized","raw","tonight","slow"
"requested","returned","not_for","enjoyable","empty"
"stated","phoenix","lovely","bag","flavours"
"story","plastic","amok","consistently","minutes"
"hoping","mushy","sadly","relish","art"
"fun","sweet_potato","dipping","weather","hidden_gem"
"discount","prefer","tad","vanilla","lots"
"not_eat","helpful","woman","cheesy","madison"
"sucks","vegan","overly","raw","picky"
"dropped","not_for","charged","paying","latte"
"plastic","hell","burnt","understand","not_disappoint"
"health","crepe","cashier","desserts","prefer"
"register","impression","coconut","par","not_only"
"watched","not_enough","coy","card","romantic"
"apologize","requested","hummus","brew","absolutely_love"
"fault","not_going","arrive","avoid","freshly"
"driver","ran","visiting","smooth","dollar"
"receive","apologized","beer_selection","range","save"
"website","vibe","spent","freshly","total"
"awesome","dropped","worst","apparently","lover"
"bad_experience","edible","jalapeño","fie","anniversary"
"napkin","grease","snack","coupon","vanilla"
"sadly","speak","mess","talking","impeccable"
"explain","not_what","not_enough","downside","prompt"
"ruined","online","satisfied","not_even","wood"
"world","correct","efficient","odd","regret"
"poorly","visiting","attitude","bomb","relish"
"expecting","dint","lost","flavours","dipping"
"crappy","appeared","outstanding","pesto","terrific"
"throw","shared","moist","fluffy","secret"
"garbage","watery","not_go","spent","caramel"
"fan","confused","pretty_decent","welcoming","fairly"
"grease","oily","not_a_fan","chorion","pleasantly_surprised"
"annoyed","annoying","not_impressed","lover","not_as"
"positive","napkin","worse","cleveland","beer_selection"
"sucked","excuse","annoying","chill","fluffy"
"calling","send","management","frozen","min"
"notable_returning","annoyed","goat","satisfying","pesto"
"not_fresh","stuffed","wood","not_a_fan","poke"
"edible","interior","wise","perfectly_cooked","not_disappointed"
"messed","hem","pastry","cinnamon","spent"
"attempt","dried","pudding","choices","desserts"
"dried","reasonable","glad","super_friendly","card"
"authentic","traditional","recommendation","save","forgot"
"favour","not_return","awful","sharing","cinnamon"
"visiting","uncomfortable","save","top_notch","chorion"
"not_only","microwave","not_come","woman","surprisingly"
"unacceptable","downhill","leaving","disappointing","treated"
"smelled","potential","gross","not_great","legato"
"handed","yummy","mistake","strip_mall","beautifully"
"excellent","crap","oily","crunch","not_really"
"not_return","inedible","creme","not_much","intimate"
"continued","unique","range","negative","raw"
"shocked","not_make","pittsburgh","em_glad","relaxing"
"nope","flag","prompt","romantic","courteous"
"lacking","situation","memorable","creative","super_nice"
"industry","telling","liking","thai_food","kinda"
"eventually","poor_service","hell","laid","croissant"
"properly","informed","figured","stomach","almond"
"trash","not_fresh","impression","latte","not_think"
"flag","sucked","not_what","madison","choices"
"worst_experience","underwhelming","treat","gem","chill"
"writing","complete","standing","lacking","holy"
"crispy","explained","suppose","soggy","mignon"
"dead","smoked","ten","online","daily"
"not_busy","awkward","beat","tartar","enjoyable"
"luck","properly","ran","heaven","inviting"
"id","ruined","positive","gluten_free","unlike"
"filthy","fault","ridiculous","unlike","weird"
"loved","apology","awkward","professional","kayo"
"confused","belly","enjoyable","caramel","love_love"
"begin","joke","stomach","bit_pricey","reasonable_price"
"notepad","not_care","not_quite","art","paid"
"ticket","roasted","boring","happened","charge"
"yuck","eventually","dint","extensive","hawaiian"
"talked","healthy","online","hell","sooty"
"uncomfortable","mango","desserts","bonus","tartar"
"mushy","not_understand","plastic","buttery","trust"
"rip","poorly","realized","overpriced","bonus"
"desk","not_eat","confused","intimate","woman"
"security","desired","foot","hearty","classy"
"restroom","mcdonald","valley","green_tea","absolutely_amazing"
"not_really","foot","cheesy","owned","refill"
"phoenix","suppose","potential","expectation","snack"
"ambiance","lukewarm","speak","tough","equally"
"not_understand","generous","customers","dirty","seared"
"burned","dead","charlotte","includes","sea_bass"
"minute_wait","story","accommodating","tend","bag"
"drove","receive","sample","picky","buttery"
"watery","suck","vanilla","barely","divine"
"corporate","needless","pretty_tasty","reasonable_price","expectation"
"silverware","upset","melt","mg","hell"
"closing","slow_service","montreal","plaza","blown"
"appeared","bad_service","discount","complete","mediterranean"
"replied","luck","requested","sad","brussels"
"rudely","nicely","flavours","not_disappoint","weather"
"acknowledged","recommendation","cons","gnocchi","octopus"
"pissed","not_busy","fie","alright","espresso"
"chocolate","nasty","bother","exceptional","stomach"
"attentive","threw","pros","arizona","nut"
"credit","register","lived","speak","everyday"
"fail","treat","refreshing","live_music","balance"
"wonderful","discount","pleased","hawaiian","memorable"
"act","throw","undercooked","balance","wedding"
"stupid","mediocre_food","story","smoky","personable"
"tab","watched","dropped","wide","leaving"
"policy","solid","mushy","depending","explained"
"gratuity","combination","uncomfortable","braised","brew"
"slow_service","weak","desired","relaxed","satisfying"
"downhill","response","fault","arrive","crunch"
"wt","lovely","not_eat","liking","heavenly"
"expectation","fare","choices","croissant","sharing"
"email","hummus","factor","marinated","happened"
"absolute","nope","pesto","spectacular","laid"
"odd","comfortable","crunch","spacious","range"
"fairly","answer","savoury","superb","pleasure"
"angry","beer_selection","cinnamon","secret","relaxed"
"not_make","stated","affordable","almond","live_music"
"wasted","explain","tasteless","foot","tart"
"not_what","website","goodness","delicious_food","speak"
"horrible_experience","banana","tartar","blueberry","discovered"
"screw","summer","watery","not_disappointed","green_tea"
"rubbery","attempt","rave","tart","experienced"
"answered","crisp","hair","pickled","cheesy"
"ugh","spectacular","hem","wise","delight"
"hung","minute_wait","correct","phenomenal","organic"
"overly","credit_card","not_going","delightful","dream"
"comp","crappy","eventually","sesame","mimosa"
"alright","classic","thai_food","nice_touch","penny"
"kidding","subpart","bar_food","sweetness","smoky"
"female","receipt","bit_pricey","legato","gnocchi"
"kinda","credit","tend","seared","hidden"
"posted","not_a_fan","napkin","relaxing","patient"
"strange","rubbery","tart","leaving","gorgeous"
"watered","smelled","appeared","lost","complete"
"acted","ticket","decent_food","daily","customers"
"beware","watered","negative","highly_recommended","footie"
"fee","overrated","freshly","win","not_that"
"not_great","coconut","spacious","ran","management"
"wet","jalapeño","weather","forever","amazingly"
"bothered","juicy","latte","nut","paired"
"bad_food","valley","depending","inexpensive","italy"
"fly","silverware","chorion","cashier","fas"
"not_give","topped","stale","mediterranean","favour"
"pricey","not_see","octopus","mignon","cocktails"
"wont","creamy","friendly_staff","bruschetta","online"
"approached","not_bad","nice_touch","strange","bruschetta"
"impression","outdoor","preferred","absolutely_delicious","beet"
"vegan","truffle","website","bar_food","understand"
"acknowledge","not_taste","brew","comfort_food","amazing_service"
"extremely_rude","not_seem","luck","octopus","awesome_food"
"failed","canned","flavourless","prosciutto","strip_mall"
"not_waste","modern","not_a_bad","supposed","sad"
"slightly","lots","cooked_perfectly","hidden","braised"
"mad","sucks","not_overly","winter","shoo"
"canned","wet","complete","not_overly","blend"
"training","spoke","returned","tucked","expecting"
"yelling","treated","grease","ten","em_glad"
"not_impressed","failed","sesame","excellent_service","paying"
"variety","pittsburgh","annoyed","inviting","kabob"
"typical","begin","experienced","preferred","fare"
"specifically","hill","sharing","plentiful","peach"
"denny","pastry","not_too_bad","maple","maple"
"obvious","dipping","caramel","not_for","extensive"
"disgusted","thrum","mcdonald","paired","apparently"
"pathetic","notable_returning","creative","hoping","notepad"
"thrown","burned","not_busy","figured","tiramisu"
"not_as","memorable","smoky","not_eat","compliment"
"broken","desk","exceptional","story","inexpensive"
"cleaned","fishy","welcoming","quaint","marinated"
"soft","messed","art","blend","win"
"cleaning","charlotte","dead","lightly","winner"
"shut","ugh","underwhelming","mimosa","twist"
"perfect","quiet","situation","oily","sweetness"
"clue","lacklustre","not_so_much","herb","sesame"
"suppose","writing","satisfying","rude","kale"
"fake","handed","consistently","classy","pumpkin"
"hill","grocery_store","chill","cocktails","balanced"
"beautiful","improve","improve","beet","quaint"
"annoying","act","cleveland","mistake","pickled"
"straw","wont","properly","brussels","par"
"lukewarm","yuck","not_amazing","overly","totally_worth"
"politely","cleaning","smooth","overcooked","prosciutto"
"bad_review","apologize","extensive","espresso","blueberry"
"employees","surprisingly","send","tangy","vacation"
"eye_contact","bad_experience","dried","mediocre","crave"
"complaining","casual","relish","terrific","story"
"not_for","whelmed","friendly_service","raspberry","charming"
"hire","goat","hawaiian","decorated","raspberry"
"voice","assume","sick","winner","hooked"
"learn","kick","shame","disappointment","negative"
"hype","restroom","not_care","courteous","wide"
"mg","lacked_flavour","inexpensive","beautifully","favourites"
"disaster","wise","id","slight","lightly"
"oily","complained","quick_bite","impression","frozen"
"embarrassed","pudding","lover","nonetheless","nutella"
"toilet","glad","throw","mess","grit"
"lacked","perfectly","apologized","nice_atmosphere","fast_service"
"blah","fail","weak","kale","welcomed"
"boring","inch","green_tea","not_quite","comfort_food"
"assume","not_so_much","blah","annoying","farm"
"throwing","lived","fluffy","neat","includes"
"unhappy","broken","not_anything","not_bad","not_eat"
"respect","em_giving","steep","attitude","special_occasion"
"located","melt","professional","twist","forever"
"trust","training","legato","realized","ten"
"greet","negative","explain","management","writing"
"crepe","shit","not_see","ricotta","stumbled"
"charging","wood","ticket","explained","unbelievable"
"bug","proceeded","credit","pumpkin","avoid"
"ass","bothered","highly_recommend","plastic","legit"
"not_much","thrown","ordinary","meaty","explain"
"not_enough","favour","improvement","poor","decorated"
"impossible","cafeteria","knowledgeable","caramelized","craft"
"wrote","thai_food","pickled","standing","coupon"
"valley","shocked","picky","dint","notable_disappointed"
"professional","mg","bomb","pretty_tasty","thrum"
"filling","tab","not_make","not_only","place's"
"forced","specifically","explained","poke","extremely_friendly"
"whatsoever","obvious","register","seasonal","pairing"
"food_arrived","fee","answer","arugula","seasonal"
"inch","consistently","fabulous","kabob","winter"
"shortly","charging","exciting","balanced","begin"
"address","pros","beet","discount","weekly"
"removed","satisfied","gnocchi","holy","arrive"
"responded","fake","wide","sampled","locally"
"existent","outstanding","perfection","rune","pear"
"tipped","acceptable","edible","organic","ricotta"
"yelled","fly","croissant","not_enough","berry"
"disappeared","cons","plaza","not_go","perfect_amount"
"mediocre_food","professional","madison","positive","killer"
"claim","snack","thrum","ample","delish"
"spit","industry","decorated","stood","herb"
"stuffed","food_arrived","acceptable","requested","watering"
"terrible_experience","denny","unlike","peach","cashier"
"not_cooked","talked","em_glad","equally","not_go"
"grocery_store","impossible","not_seem","spiced","disappoint"
"unfriendly","not_only","minute_wait","experienced","recommendations"
"contact","range","mg","quick_bite","ran"
"concern","rave","romantic","pretty_decent","mocha"
"gift_card","unacceptable","suck","patient","tend"
"recommendation","creme","em_giving","pear","relax"
"twenty","desserts","inconsistent","website","arugula"
"reserved","yum","seared","rites","super_fresh"
"lousy","forgotten","pleasantly_surprised","customers","attitude"
"hands","saving_grace","informed","berry","figured"
"male","rip","live_music","hangover","drove"
"purchased","gratuity","laid","generous_portion","nice_touch"
"shitty","continued","includes","comfy","scratch"
"cute","bad_day","pretty_standard","gorgeous","foot"
"awkward","runny","receive","sea_bass","delectable"
"message","madison","adequate","throw","downside"
"not_taste","screw","wet","not_going","hearty"
"explanation","existent","waste","discovered","spacious"
"helpful","removed","slow_service","super_nice","caramelized"
"lived","efficient","arizona","curd","not_your"
"menus","unimpressed","strip_mall","fast_service","hype"
"bouncer","montreal","not_taste","hype","positive"
"fishy","cleveland","telling","fas","scrumptious"
"ins","inconsistent","sweetness","absolute","liking"
"worst_customer_service","factor","flag","flaky","tucked"
"reply","acknowledged","balance","nutella","eave"
"reheated","disappeared","owned","feature","pecan"
"potential","enjoyable","incredible","http","spiced"
"forgotten","gluten_free","rune","tiramisu","realized"
"cancelled","not_there","pretty_cool","memorable","elegant"
"coped","ordinary","braised","weekends","passion"
"fantastic","prompt","raspberry","pretty_cool","tangy"
"strike","cleaned","blueberry","burnt","flaky"
"charlotte","whatsoever","daily","charming","introduced"
"advertised","id","maple","compliment","red_velvet"
"deserve","not_hot","crap","cauliflower","henderson"
"cancel","understaffed","watched","ticket","chocolate_cake"
"dump","frankly","espresso","grit","sooooo"
"horrible_customer_service","closing","marinated","divine","chris"
"account","female","restroom","delish","huge_portion"
"behaviour","pretty_bad","sea_bass","not_come","pasty"
"apologetic","cheesy","not_recommend","everyday","michael"
"declined","learn","curd","eave","goodly"
"insisted","latte","nonetheless","dried","throw"
"not_seem","not_cooked","denny","trust","meaty"
"lose","generic","buttery","relax","decadent"
"tone","advertised","specifically","anniversary","generous_portion"
"replace","forced","nut","hidden_gem","dirty"
"reasonable","shortly","whelmed","delight","bulgogi"
"not_being","wt","stated","thrum","wonderfully"
"fuck","goodness","gluten_free","red_velvet","deliciousness"
"subpart","appetizing","kabob","terrible","bad_experience"
"incorrect","terrible_service","ruined","fried_egg","talked"
"not_too","spoiled","hill","id","succulent"
"panda","picky","neat","ridiculous","aha"
"assumed","trash","assume","not_your","not_much"
"shift","pass","brussels","favourites","rocks"
"argue","liking","win","sadly","hospitality"
"pass","lame","bruschetta","assortment","plentiful"
"screwed","not_give","spoiled","menu_ha","tough"
"horrendous","pesto","plentiful","suck","delicate"
"minimum","beat","credit_card","sooty","oxtail"
"poor_customer_service","bummer","tiramisu","cons","cauliflower"
"shared","vanilla","maxis","hair","lost"
"duty","unfortunate","poke","aha","rosemary"
"extremely_disappointed","fie","prosciutto","pros","not_a_fan"
"gluten_free","bar_food","nice_atmosphere","preference","sceptical"
"refuse","flavours","smelled","fault","baklava"
"glad","adequate","preference","crave","barely"
"remove","arizona","mediterranean","returned","genuine"
"bus_boy","comp","sucked","luck","chocolate_chip"
"healthy","unprofessional","excuse","indoor","mistake"
"fight","not_quite","begin","oxtail","discount"
"not_see","not_up","hangover","legit","mike"
"fucking","coped","cocktails","piping_hot","personal_favourite"
"terribly","apologetic","mimosa","natural","returned"
"arizona","horrible_service","overrated","explain","tad"
"replaced","not_being","attempt","pretty_darn","genuinely"
"entire_time","claim","winter","huge_portion","pride"
"multiple_time","replaced","training","stumbled","meats"
"ripped","menus","grit","awkward","exceeded"
"freezer","replied","crave","wide_variety","disappoints"
"department","welcoming","fee","adventurous","plaza"
"earned","calling","downside","steep","sorbet"
"acceptable","mad","bonus","factor","hawaii"
"manner","tartar","fake","shoo","assortment"
"information","inattentive","writing","boring","bourbon"
"insult","coy","herb","chocolate_cake","nice_atmosphere"
"ignore","tad","lukewarm","complaints","tour"
"poor_quality","accommodating","classy","not_care","mousse"
"frustrated","greet","upset","correct","not_forget"
"yell","terribly","joke","not_good","broulee"
"code","reheated","intimate","killer","depending"
"ruin","sample","courteous","rustic","telling"
"cardboard","refused","slight","spiciness","requested"
"empty_table","driver","mignon","regret","cannot_wait"
"risk","drove","almond","footie","menu_ha"
"inconvenience","frustrating","handed","treated","carney"
"sweet_potato","choices","inch","bulgogi","comfy"
"regret","strike","pumpkin","dropped","not_very"
"laughing","moist","kale","minor","fresh_ingredient"
"wasting","improvement","blowing","excellent_food","answer"
"spoiled","forgettable","spiced","napkin","real_deal"
"prefer","straw","super_friendly","minute_wait","bland"
"dollars","cinnamon","hyped","charged","amazed"
"unpleasant","brew","lacked_flavour","beware","bit_pricey"
"pittsburgh","soaked","inviting","fondue","tomorrow"
"wait_minute","gnocchi","caramelized","not_what","smiling"
"lame","male","disgusting","lively","freshest"
"traditional","hyped","fishy","pleasure","japan"
"attempted","drenched","hmm","meats","joke"
"laughed","exciting","perfectly_cooked","amazingly","backup"
"weak","policy","not_particularly","bother","fresh_food"
"generous","complaining","forgotten","mocha","pair"
"vibe","assumed","arugula","writing","watermelon"
"cafeteria","owned","lightly","situation","id"
"not_happy","freezer","aha","pecan","tenderloin"
"nicely","unfriendly","peach","dream","crap"
"incident","execution","top_notch","personable","odd"
"lovely","health","bummer","craft_beer","craft_beer"
"flavourful","luke_warm","tait","enormous","citrus"
"not_there","kidding","cafeteria","noteworthy","created"
"miserable","posted","bit_slow","farm","awesome_service"
"costs","freshly","blown","answer","green_chile"
"bad_day","chorion","impossible","suppose","not_overly"
"wedding","unpleasant","watered","heavenly","persian"
"confirmed","stupid","calling","bit_slow","sampled"
"ownership","clue","not_understand","register","rites"
"terrible_food","not_anything","oxtail","uncomfortable","fig"
"unfortunate","sloppy","mad","wet","not_going"
"idiot","olive_garden","hearty","disappoint","blew"
"smoked","acted","rites","très","lack"
"soaked","hire","hidden","broulee","east_coast"
"cockroach","tipped","threw","drove","hoping"
"banana","pleased","comfort_food","craft","website"
"worst_food","lose","not_fresh","fashioned","squash"
"disrespectful","panda","desk","gripe","importantly"
"understaffed","bus_boy","meaty","not_too_bad","love_coming"
"badly","angry","reasonable_price","bourbon","supposed"
"horribly","entire_time","http","chic","slight"
"voucher","hmm","lacklustre","informed","perfectly_seasoned"
"roach","filthy","tangy","talked","flan"
"overrated","sigh","feature","hands","bone_marrow"
"owned","pissed","beware","eclectic","feature"
"runny","occupied","twist","mousse","ridiculous"
"spilled","pretty_decent","not_so_mething","wooden","exquisite"
"summer","croissant","obvious","wedding","adorable"
"assured","limp","bit_disappointed","vacation","fondue"
"combination","not_terrible","shit","gross","not_for"
"crisp","eye_contact","tab","restroom","reasonable_prices"
"mango","wasted","talked","citrus","kudos"
"inattentive","bruschetta","menu_ha","grease","omg"
"unbelievable","iceberg","microwave","pair","natural"
"error","reserved","fly","devoured","custom"
"drenched","lousy","relaxing","sceptical","absolutely_loved"
"consistently","lamp","generic","dead","infused"
"yummy","smoky","shocked","lentil","closing"
"train","trust","chocolate_cake","baguette","definite"
"rotten","average_food","drove","crap","hangover"
"blame","anniversary","treated","hill","gilbert"
"hummus","acknowledge","canned","pretty_busy","deliciously"
"utensil","exceptional","berry","horrible","indoor"
"advised","employees","ricotta","daily_special","magic"
"rubber","mediterranean","decently","appeared","carpaccio"
"horrible_food","ins","cleaned","chocolate_chip","bad_meal"
"flagged","smooth","bothered","special_occasion","not_care"
"screaming","remove","gorgeous","nob","soggy"
"placing","ripped","posted","succulent","adventurous"
"belly","legato","nasty","sorbet","piping_hot"
"incompetent","utensil","pear","closing","fried_egg"
"argued","benefit","shortly","tasty_food","devoured"
"arrives","justify","receipt","not_over","blast"
"promised","redeeming","failed","sick","shaved"
"broke","crunch","pretty_average","properly","entertaining"
"cell","art","closing","people_watching","horchata"
"lesson","overdone","fried_egg","nice_selection","dried"
"wtf","octopus","panda","definite","grape"
"stating","skimpy","claim","fee","standing"
"loyal","tone","health","shaved","neat"
"debit","seared","cleaning","maxis","minute_wait"
"montreal","mignon","cauliflower","bad_experience","overly"
"honour","chew","silverware","grape","bottomless"
"unable","garbage","not_being","goodly","informed"
"remake","weather","blend","diverse","gracious"
"cared","espresso","spoke","italy","http"
"interior","minimum","nutella","exciting","nicest"
"luke_warm","explanation","ample","infused","rustic"
"solid","sea_bass","runny","scratch","wise"
"franchise","green_tea","people_watching","squash","not_enough"
"tender","approached","pretty_nice","health","weekends"
"accept","lover","bulgogi","telling","addicted"
"benefit","beet","pretty_busy","elegant","diego"
"inform","declined","notary_favourite","leftovers","chic"
"pushed","cutting","fondue","improvement","correct"
"receiving","pretty_disappointed","relaxed","kudos","curd"
"treatment","politely","thrown","receive","dint"
"replacement","unappetizing","execution","varied","not_come"
"sloppy","hawaiian","not_super","confused","wide_variety"
"not_bother","yelling","sampled","not_too_sweet","spoke"
"occupied","badly","grocery_store","calling","king_crab"
"meh","disaster","organic","www.yelp.com","loving"
"irritated","not_happy","minimum","rosemary","francisco"
"not_believe","twenty","phenomenal","decadent","enormous"
"skill","ruin","nope","carpaccio","shout"
"condescending","wasn","winner","brioche","crafted"
"frustrating","corporate","quaint","mad","brûlée"
